original_sentence,sentence,missing_words,translated_sentence,Eng_Difficulty_Label,Topic_Label
"The risk of reactivation increases with immunosuppression, such as that caused by infection with HIV.","The risk of ___ increases with ___, such as that caused by infection with HIV.","immunosuppression, reactivation",ويزداد خطر إعادة التنشيط مع الكبت المناعي، كما يحدث في حالات الإصابة بفيروس نقص المناعة البشرية.,Hard,Health
"Such tearing is common in orbitofrontal cortex in particular, because of bony protrusions on the interior skull ridge above the eyes.","Such tearing is common in ___ cortex in particular, because of bony ___ on the ___ skull ridge above the eyes.","orbitofrontal, protrusions, interior",هذا التمزق شائع بشكل خاص في القشرة الجبهية المدارية، بسبب النتوءات العظمية على الحافة الداخلية للجمجمة فوق العينين.,Hard,Health
The pathophysiology of autoimmune diseases often involves a misdirected immune response that attacks the body’s own tissues.,The ___ of ___ diseases often involves a ___ immune response that attacks the body’s own tissues.,"pathophysiology, misdirected, autoimmune",غالبًا ما تتضمن الفيزيولوجيا المرضية للأمراض المناعية الذاتية استجابة مناعية خاطئة تهاجم أنسجة الجسم نفسه.,Hard,Health
Postpone talks on the opening of a NATO military communications mission in Moscow.,Postpone talks on the opening of a NATO ___ ___ ___ in Moscow.,"communications, mission, military",تأجيل المحادثات المتعلقة بفتح بعثة للاتصالات العسكرية لمنظمة حلف شمال الأطلسي في موسكو.,Hard,Legal
"Trust me, there’s more going on than you could ever imagine.","Trust me, there’s more ___ on than you could ever ___.","going, imagine",ثق بي، هناك أكثر مما يمكنك أن تتخيله يحدث هنا.,Hard,Subtitle
هذا أكبر من أي شيء واجهناه من قبل، وأنت فقط بدأت تدرك ذلك.,هذا أكبر من أي شيء واجهناه من قبل، ___ فقط بدأت ___ ___,"ذلك., وأنت, تدرك","This is bigger than anything we’ve ever faced, and you're just now realizing that.",Hard,Subtitle
We came across a calm so endless that we saw no end in it - except death.,We came across a ___ so ___less that we saw no end in it - except death.,"end, endless, calm",واجهنا هدوءًا لا نهاية له لدرجة أننا لم نرَ له نهاية - إلا الموت.,Hard,Subtitle
"Zoonotic diseases, which originate in animals, underline the importance of a One Health approach to global health security.","Zoonotic diseases, which originate in animals, ___ the importance of a One Health approach to ___ health security.","underline, global, zoonotic",تؤكد الأمراض الحيوانية المنشأ، التي تنشأ في الحيوانات، على أهمية نهج الصحة الواحدة لتحقيق الأمن الصحي العالمي.,Hard,Health
The United Nations Convention against Corruption is the first legally binding instrument on the issue with a global scope.,The United Nations ___ against Corruption is the first legally ___ instrument on the issue with a global ___.,"scope, Convention, binding",إن اتفاقية الأمم المتحدة لمكافحة الفساد هي أول صك ملزم قانونيا يتعلق بالقضية على نطاق عالمي.,Hard,Legal
And all this from a place of dead calm.,And all this from a place of ___ ___.,"calm, dead",وكُلّ هذا مِنْ مكان مِنْ الهدوء التامِّ.,Hard,Subtitle
أدى خفض التصنيف الائتماني إلى زيادة تكاليف الاقتراض للبلاد.,أدى خفض التصنيف الائتماني إلى ___ ___ ___ للبلاد.,"تكاليف, زيادة, الاقتراض",The credit rating downgrade has led to higher borrowing costs for the country.,Hard,EcoFinancial
The merger between the two financial institutions created a banking conglomerate.,The ___ between the two financial ___ ___ a banking conglomerate.,"merger, institutions, created",أنشأ الاندماج بين المؤسستين الماليتين تكتلًا مصرفيًا.,Hard,EcoFinancial
"The dramatic irony in Sophocles' ""Oedipus Rex"" creates a tension between the audience's knowledge and the protagonist's tragic fate.","The ___ irony in Sophocles' ""Oedipus Rex"" creates a tension between the audience's knowledge and the ___'s tragic ___.","fate, dramatic, protagonist","يخلق السخرية الدرامية في ""أوديب ملكًا"" لسوفوكليس توترًا بين معرفة الجمهور والمصير المأساوي للبطل.",Hard,Litrature
"If you think walking away is the answer, then you don't understand what's at stake.","If you think ___ away is the ___, then you don't ___ what's at stake.","walking, understand, answer",إذا كنت تعتقد أن الابتعاد هو الحل، فأنت لا تفهم ما هو على المحك.,Hard,Subtitle
"يتحدى السرد ما بعد الحداثي في ""قوس قزح الجاذبية"" لتوماس بينشون تقاليد السرد التقليدية.","يتحدى ___ ما بعد الحداثي في ""قوس قزح ___ لتوماس ___ تقاليد السرد التقليدية.","بينشون, الجاذبية"", السرد","The postmodern narrative in Thomas Pynchon's ""Gravity's Rainbow"" challenges traditional storytelling conventions.",Hard,Litrature
مهدت التقدمات في تقنية كريسبر الطريق لتطبيقات تعديل الجينات، مما أثار اعتبارات أخلاقية وطبية.,مهدت ___ في تقنية كريسبر الطريق لتطبيقات ___ الجينات، مما أثار اعتبارات ___ وطبية.,"أخلاقية, تعديل, التقدمات","Advances in CRISPR technology have paved the way for gene-editing applications, raising both ethical and medical considerations.",Hard,Health
The country's national income has grown steadily over the past decade.,The country's national ___ has ___ steadily over the ___ decade.,"grown, income, past",نما الدخل الوطني للبلاد بشكل ثابت على مدار العقد الماضي.,Hard,EcoFinancial
The corporate tax reform is expected to attract foreign investment.,The corporate tax ___ is expected to attract ___ ___.,"investment, reform, foreign",من المتوقع أن تجذب إصلاحات ضريبة الشركات الاستثمار الأجنبي.,Hard,EcoFinancial
"أصدرت المحكمة أمر ""هابياس كوربوس""، آمرة بالإفراج الفوري عن الشخص المحتجز بشكل غير قانوني.","أصدرت ___ أمر ""هابياس كوربوس""، آمرة ___ الفوري عن الشخص المحتجز بشكل غير قانوني."," المحكمة, بالإفراج","The court issued a writ of habeas corpus, ordering the immediate release of the unlawfully detained individual.",Hard,Legal
"Studies have shown that COVID-19 can trigger a hyperinflammatory response, particularly in severe cases, leading to cytokine storms that damage organs and increase mortality risk.","Studies have shown that COVID-19 can trigger a ___ response, particularly in severe cases, leading to ___ storms that damage organs and increase ___ risk.","cytokine, hyperinflammatory, mortality",أظهرت الدراسات أن COVID-19 يمكن أن يحفز استجابة فرط التهابية، خاصة في الحالات الشديدة، مما يؤدي إلى عواصف السيتوكين التي تتلف الأعضاء وتزيد من خطر الوفاة.,Hard,Health
The economic indicators point to a robust recovery in the manufacturing sector.,The ___ indicators point to a ___ recovery in the ___ sector.,"manufacturing, robust, economic",تشير المؤشرات الاقتصادية إلى تعافٍ قوي في قطاع التصنيع.,Hard,EcoFinancial
الحقيقة هي أننا جميعاً نحاول التمسك بشيء قبل أن ينزلق بعيدًا.,الحقيقة هي أننا جميعاً نحاول ___ بشيء قبل أن ___ ___,"ينزلق, بعيدًا., التمسك","The truth is, we’re all just trying to hold onto something before it slips away.",Hard,Subtitle
"You thought you knew what you wanted, but you’ve never been more wrong in your life.","You ___ you knew what you ___, but you’ve never been more ___ in your life.","thought, wrong, wanted",كنت تعتقد أنك تعرف ما تريده، لكنك كنت أكثر خطأ في حياتك.,Hard,Subtitle
The financial institution's capital adequacy ratio exceeds the minimum requirement.,The ___ institution's capital ___ ___ exceeds the minimum requirement.,"ratio, adequacy, financial",تتجاوز نسبة كفاية رأس المال للمؤسسة المالية الحد الأدنى المطلوب.,Hard,EcoFinancial
لا يوجد رجوع من هنا، مهما أردنا.,لا يوجد ___ من ___ ___ أردنا.,"رجوع, هنا،, مهما","There’s no going back from this, no matter how much we want to.",Hard,Subtitle
تشير الأدلة الناشئة إلى أن الأفراد الذين يتعافون من COVID-19 قد يعانون من أعراض مستمرة، تُعرف غالبًا باسم 'كوفيد طويل الأمد'، بما في ذلك التعب، وضعف الإدراك، والمضاعفات القلبية الوعائية، حتى بعد شهور من الإصابة الأولية.,___ الأدلة الناشئة إلى أن الأفراد الذين ___ من COVID-19 قد يعانون من أعراض مستمرة، تُعرف غالبًا باسم 'كوفيد طويل الأمد'، بما في ذلك التعب، وضعف الإدراك، والمضاعفات ___ الوعائية، حتى بعد شهور من الإصابة الأولية.,"القلبية, يتعافون, تشير","Emerging evidence suggests that individuals who recover from COVID-19 may experience persistent symptoms, often referred to as 'long COVID,' including fatigue, cognitive impairment, and cardiovascular complications, even months after initial infection.",Hard,Health
The sovereign debt crisis has raised concerns about the country's creditworthiness.,The ___ ___ crisis has raised ___ about the country's creditworthiness.,"sovereign, concerns, debt",أثار أزمة الديون السيادية مخاوف بشأن الجدارة الائتمانية للبلاد.,Hard,EcoFinancial
"The exploration of the human psyche in Franz Kafka's ""The Metamorphosis"" delves into themes of alienation and identity.","The ___ of the human ___ in Franz Kafka's ""The Metamorphosis"" ___ into themes of alienation and identity.","exploration, psyche, delves","يغوص استكشاف النفس البشرية في ""التحول"" لفرانز كافكا في مواضيع الاغتراب والهوية.",Hard,Litrature
من المتوقع أن يستقر معدل التضخم في الأشهر المقبلة.,من المتوقع أن يستقر معدل ___ في ___ ___,"المقبلة., الأشهر, التضخم",The inflation rate is expected to stabilize in the coming months.,Medium,EcoFinancial
Literature from conflict zones often provides a raw and poignant perspective on human resilience.,Literature from ___ often provides a raw and poignant perspective on human ___.,"conflict zones, resilience",غالبًا ما يقدم الأدب من مناطق الصراع نظرة مباشرة ومؤثرة على صمود الإنسان.,Medium,Litrature
"Smoking cessation programs, combined with counseling and support, have been shown to increase the success rates of quitting tobacco for long-term health benefits.","Smoking cessation programs, combined with ___ and support, have been shown to increase the success rates of quitting ___ for long-term health benefits.","tobacco, smoking cessation programs, counseling",أظهرت برامج الإقلاع عن التدخين، المدمجة مع الاستشارات والدعم، أنها تزيد من معدلات النجاح في الإقلاع عن التبغ لتحقيق فوائد صحية طويلة الأمد.,Medium,Health
أصبح تصوير الشخصيات النسائية القوية أكثر بروزًا في الرواية العربية المعاصرة.,أصبح ___ ___ النسائية القوية أكثر بروزًا في الرواية العربية ___,"تصوير, الشخصيات, المعاصرة.",The depiction of strong female characters is increasingly prominent in contemporary Arabic fiction.,Medium,Litrature
المؤشرات الاقتصادية تقدم رؤى حول الصحة المالية للبلاد.,___ ___ تقدم رؤى حول ___ المالية للبلاد.,"الاقتصادية, المؤشرات, الصحة",Economic indicators provide insights into a country's financial health.,Medium,EcoFinancial
الأمراض المزمنة مثل ارتفاع ضغط الدم والسكري تتطلب إدارة دقيقة من خلال الأدوية، وتغييرات في نمط الحياة، والمراقبة المنتظمة لتجنب المضاعفات.,___ المزمنة مثل ارتفاع ضغط الدم ___ تتطلب إدارة دقيقة من خلال ___ وتغييرات في نمط الحياة، والمراقبة المنتظمة لتجنب المضاعفات.,"الأدوية،, الأمراض, والسكري","Chronic diseases like hypertension and diabetes require careful management through medication, lifestyle changes, and regular monitoring to avoid complications.",Medium,Health
The translation of 'Aladdin' has introduced many readers to Middle Eastern folklore.,The translation of 'Aladdin' has introduced many readers to ___ ___.,"Middle Eastern, folklore",قدمت ترجمة 'علاء الدين' العديد من القراء إلى الفولكلور الشرق أوسطي.,Medium,Litrature
أعلنت الحكومة عن خطط لتقليص الدعم على منتجات الطاقة.,___ ___ عن خطط لتقليص الدعم على منتجات ___,"الحكومة, أعلنت, الطاقة.",The government has announced plans to reduce subsidies on energy products.,Medium,EcoFinancial
تحمي قوانين الملكية الفكرية حقوق المبدعين في اختراعاتهم وأعمالهم.,___ قوانين الملكية الفكرية ___ ___ في اختراعاتهم وأعمالهم.,"المبدعين, تحمي, حقوق",Intellectual property laws protect the rights of creators over their inventions and works.,Medium,Legal
Are you ready for this?,Are you ready for this?,Streak,هل أنت جاهز لهذا؟,Medium,Subtitle
Literary festivals provide a platform for authors to discuss their work with readers.,Literary ___ provide a ___ for ___ to discuss their work with readers.,"festivals, authors, platform",توفر المهرجانات الأدبية منصة للمؤلفين لمناقشة أعمالهم مع القراء.,Medium,Litrature
تشهد البلاد زيادة في الاستثمارات المحلية والأجنبية على حد سواء.,تشهد البلاد زيادة في ___ ___ ___ على حد سواء.,"المحلية, والأجنبية, الاستثمارات",The country is experiencing an increase in both domestic and foreign investments.,Medium,EcoFinancial
Many contemporary Arabic authors are gaining international recognition for their work.,Many contemporary Arabic ___ are gaining international ___ for their work.,"recognition, authors",يحظى العديد من المؤلفين العرب المعاصرين باعتراف دولي لأعمالهم.,Medium,Litrature
Staying hydrated by drinking sufficient water throughout the day is essential for maintaining healthy kidney function and supporting digestion.,Staying ___ by drinking sufficient water throughout the day is essential for maintaining ___ and supporting ___.,"digestion, healthy kidney function, hydrated",الحفاظ على الترطيب من خلال شرب كمية كافية من الماء طوال اليوم أمر ضروري للحفاظ على وظيفة الكلى الصحية ودعم الهضم.,Medium,Health
تتكرر هذه العملية في دورتين كبيرتين إضافيتين للرياح شمالًا وجنوبًا.,تتكرر هذه ___ في دورتين ___ ___ للرياح شمالًا وجنوبًا.,"العملية, إضافيتين, كبيرتين",This process then repeats itself in a further two enormous wind cycles both north and south.,Medium,Subtitle
Literature allows us to explore different cultures and perspectives through storytelling.,Literature allows us to explore different ___ and ___ through ___.,"storytelling, perspectives, cultures",تتيح لنا الأدب استكشاف ثقافات ووجهات نظر مختلفة من خلال السرد القصصي.,Medium,Litrature
أعلن المدعي العام عن مبادرة جديدة لمكافحة الجريمة المنظمة.,أعلن ___ ___ عن مبادرة ___ لمكافحة الجريمة المنظمة.,"العام, المدعي, جديدة",The attorney general announced a new initiative to combat organized crime.,Medium,Legal
الوضعية الصحيحة أثناء الجلوس والوقوف تساعد في منع آلام الظهر والعنق.,___ الصحيحة ___ الجلوس والوقوف تساعد في منع آلام ___ والعنق.,"الوضعية, الظهر, أثناء",Proper posture while sitting and standing helps prevent back and neck pain.,Medium,Health
