sentence,correct_translation,choices,Eng_Difficulty_Label,Topic_Label
أيدت محكمة الاستئناف قرار المحكمة الأدنى، مؤكدة إدانة المتهم في جميع التهم.,"The appellate court upheld the lower court's decision, affirming the defendant's conviction on all counts.","[""The appellate court overturned the lower court's decision, affirming the defendant's conviction on all counts."", ""The appellate court upheld the lower court's decision, overturning the defendant's conviction on all counts."", 'The appellate court did not address the decision of the lower court.']",Hard,Legal
يخضع إطار إدارة المخاطر للمؤسسة المالية للمراجعة.,The financial institution's risk management framework is under review.,"[""The financial institution's risk management framework is not under review."", ""The financial institution's customer service is under review."", ""The financial institution's marketing strategies are under review.""]",Hard,EcoFinancial
يُظهر استخدام السخرية في 'الكبرياء والتحامل' لجين أوستن تعقيدات الأعراف الاجتماعية والرغبات الفردية.,The use of irony in Jane Austen's 'Pride and Prejudice' reveals the complexities of societal norms and individual desires.,"[""The use of irony in Jane Austen's 'Pride and Prejudice' hides the complexities of societal norms and individual desires."", ""The use of seriousness in Jane Austen's 'Pride and Prejudice' reveals the complexities of societal norms and individual desires."", ""The use of irony in Jane Austen's 'Pride and Prejudice' has no connection to the complexities of societal norms and individual desires.""]",Hard,Litrature
لا يزال السل المقاوم للأدوية المتعددة يمثل تحديًا كبيرًا للصحة العامة، ويتطلب استراتيجيات تشخيص وعلاج أكثر قوة.,"Multi-drug-resistant tuberculosis remains a major public health challenge, requiring more robust diagnostic and treatment strategies.","['Multi-drug-resistant tuberculosis does not represent a major public health challenge.', 'Multi-drug-resistant tuberculosis requires the use of simpler diagnostic and treatment strategies.', 'Multi-drug-resistant tuberculosis requires no diagnostic and treatment strategies.']",Hard,Health
المشكلة هي أنك ذكي جداً لدرجة أنك تبدأ في تصديق أكاذيبك الخاصة.,"The problem is, you're too smart for your own good, and you're starting to believe your own lies.","[""The problem is, you're not smart enough and you're not starting to believe your own lies."", ""The problem is, you're too smart for your own good and you are still not believing your own lies."", ""The problem is, you're too smart for your own good, and you're starting to tell the truth.""]",Hard,Subtitle
تكشف العمق النفسي في 'قلب الرجل المخبأ' لإدغار آلان بو عن انحدار الراوي إلى الجنون والشعور بالذنب.,"The psychological depth in Edgar Allan Poe's ""The Tell-Tale Heart"" reveals the narrator's descent into madness and guilt.","[""The psychological shallowness in Edgar Allan Poe's 'The Tell-Tale Heart' reveals the narrator's ascent into sanity and innocence."", ""The psychological depth in Edgar Allan Poe's 'The Tell-Tale Heart' reveals the narrator's ascent into madness and guilt."", ""The psychological depth in Edgar Allan Poe's 'The Tell-Tale Heart' reveals the narrator's descent into sanity and innocence.""]",Hard,Litrature
يعمل الحاجز الدموي الدماغي كمرشح انتقائي، لحماية الجهاز العصبي المركزي من المواد الضارة المحتملة في مجرى الدم.,"The blood-brain barrier serves as a selective filter, protecting the central nervous system from potentially harmful substances in the bloodstream.","['The blood-brain barrier serves as a filter allowing all substances to pass, protecting the central nervous system from potentially harmful substances in the bloodstream.', 'The blood-brain barrier serves as a selective filter, allowing all substances to pass, protecting the central nervous system from potentially harmful substances in the bloodstream.', 'The blood-brain barrier does not serve as a selective filter, protecting the central nervous system from potentially harmful substances in the bloodstream.']",Hard,Health
في قضايا الملكية الفكرية، قد تمنح المحكمة تعويضات فعلية وقانونية حسب شدة الانتهاك.,"In intellectual property cases, courts may award both actual and statutory damages depending on the infringement's severity.","[""In intellectual property cases, courts may only award actual damages depending on the infringement's severity."", ""In intellectual property cases, courts may not award any type of damages depending on the infringement's severity."", ""In intellectual property cases, courts may only award statutory damages regardless of the infringement's severity.""]",Hard,Legal
تؤدي الضغوط التضخمية إلى تقليص القوة الشرائية للمستهلكين.,The inflationary pressures are eroding consumers' purchasing power.,"[""The deflationary pressures are eroding consumers' purchasing power."", ""The inflationary pressures are increasing consumers' purchasing power."", ""The deflationary pressures are increasing consumers' purchasing power.""]",Hard,EcoFinancial
بعض الخيارات سهلة، ولكن معظمها فقط بين أنواع مختلفة من المعاناة.,"Some choices are easy, but most are just between different kinds of suffering.","['Some choices are easy, and most are just between different kinds of joy.', 'All choices are easy and between different kinds of suffering.', 'All choices are hard and there are no difference between them.']",Hard,Subtitle
أثرت تقلبات سعر الصرف على اتفاقيات التجارة الدولية.,The exchange rate volatility has impacted international trade agreements.,"['The exchange rate stability has impacted international trade agreements.', 'The exchange rate volatility has had no impact on international trade agreements.', 'The local rate volatility has impacted international trade agreements.']",Hard,EcoFinancial
لم أصل إلى هنا فقط لأخسر كل شيء الآن.,I didn’t come this far just to lose everything now.,"['I didn’t come this far just to win everything now.', 'I didn’t come this far just to gain more.', 'I didn’t come this far just to do nothing.']",Hard,Subtitle
ينتقد فيلم 'غاتسبي العظيم' للكاتب سكوت فيتزجيرالد الحلم الأمريكي من خلال تصويره للانحطاط والانحلال الأخلاقي.,F. Scott Fitzgerald's 'The Great Gatsby' critiques the American Dream through its portrayal of decadence and moral decay.,"[""F. Scott Fitzgerald's 'The Great Gatsby' celebrates the American Dream through its portrayal of decadence and moral decay."", ""F. Scott Fitzgerald's 'The Great Gatsby' critiques the American Dream through its portrayal of a moral growth."", ""F. Scott Fitzgerald's 'The Great Gatsby' doesn't talk about American Dream.""]",Hard,Litrature
تم أمر المتهم بالتوقف عن استخدام مواد المدعي المحمية بحقوق الطبع والنشر بدون إذن، تحت طائلة اتخاذ إجراءات قانونية إضافية.,"The defendant was ordered to cease and desist from using the plaintiff’s copyrighted materials without authorization, under the penalty of further legal action.","['The defendant was ordered to continue using the plaintiff’s copyrighted materials without authorization.', 'The defendant was ordered to cease using the plaintiff’s copyrighted materials with authorization.', 'The defendant can use the copyrighted material and there is no penalty.']",Hard,Legal
تهدف حزمة التحفيز المالي الحكومية إلى تنشيط الاقتصاد.,The government's fiscal stimulus package aims to revitalize the economy.,"[""The government's fiscal stimulus package aims to stagnate the economy."", ""The government's fiscal stimulus package aims to slow down the economy."", ""The government's fiscal stimulus package has no effects on the economy.""]",Hard,EcoFinancial
اتسع العجز المالي بسبب زيادة الإنفاق الحكومي.,The fiscal deficit has widened due to increased government spending.,"['The fiscal deficit has decreased due to increased government spending.', 'The fiscal deficit has widened due to decreased government spending.', 'The fiscal deficit has not changed despite the increase in government spending.']",Hard,EcoFinancial
يقدم استكشاف الهوية واكتشاف الذات في 'الرجل الخفي' لرافيل إليسون تعليقًا عميقًا على العرق والمجتمع.,The exploration of identity and self-discovery in Ralph Ellison's 'Invisible Man' offers a profound commentary on race and society.,"[""The exploration of identity and self-discovery in Ralph Ellison's 'Invisible Man' offers a superficial commentary on race and society."", ""The exploration of identity and self-discovery in Ralph Ellison's 'Invisible Man' has no commentary on race and society."", ""The exploration of identity and self-discovery in Ralph Ellison's 'Invisible Man' offers a profound commentary on politics and society.""]",Hard,Litrature
مشاكل الصحة النفسية، إذا تركت دون علاج، يمكن أن تؤدي إلى عواقب وخيمة تؤثر ليس فقط على الفرد ولكن أيضًا على علاقاته وحياته المهنية.,"Mental health problems, if left untreated, can lead to severe consequences, affecting not only the individual but also their relationships and work life.","['Mental health problems, if left untreated, do not lead to severe consequences, affecting only the individual.', 'Mental health problems, if left untreated, can lead to mild consequences, affecting only the individual.', 'Mental health problems, if left untreated, have no affect on the individual’s relationships and work life.']",Medium,Health
وأعرب الوزراء عن بالغ قلقهم إزاء استمرار العنف وإزاء اﻷزمة السياسية في بوروندي.,The Ministers expressed their grave concern at the continued violence and at the political crisis in Burundi.,"['The Ministers expressed their satisfaction at the continued violence and at the political crisis in Burundi.', 'The Ministers expressed their minor concern at the end of violence and political crisis in Burundi.', ""The Ministers didn't express any opinions about the violence and the political crisis in Burundi.""]",Medium,Legal
رفضت المحكمة الدعوى بسبب نقص الاختصاص القضائي.,The court dismissed the lawsuit due to lack of jurisdiction.,"['The court accepted the lawsuit despite the lack of jurisdiction.', 'The court dismissed the lawsuit due to lack of evidence.', 'The court accepted the lawsuit despite of the strong jurisdiction.']",Medium,Legal
النظام الغذائي الغني بمضادات الأكسدة، بما في ذلك الفواكه والخضروات والحبوب الكاملة، يمكن أن يساعد في تقليل الالتهابات ومنع تلف الخلايا.,"A diet rich in antioxidants, including fruits, vegetables, and whole grains, can help reduce inflammation and prevent cell damage.","['A diet low in antioxidants, including fruits, vegetables, and whole grains, can help reduce inflammation and prevent cell damage.', 'A diet rich in processed food, can help reduce inflammation and prevent cell damage.', 'A diet rich in antioxidants, including meats, can increase inflammation and cause cell damage.']",Medium,Health
تعمل كغطاء، تحصر كل طقسنا تحتها.,"It acts as a lid, trapping all our weather below.","['It acts as a cover, releasing all our weather above.', 'It acts as a filter, releasing all our weather above.', 'It acts as a barrier, releasing all our weather below.']",Medium,Subtitle
رد السوق المالي بشكل إيجابي على قانون الاستثمار الجديد.,The financial market has reacted positively to the new investment law.,"['The financial market has reacted negatively to the new investment law.', 'The financial market has not reacted to the new investment law.', 'The financial market has reacted aggressively to the new investment law.']",Medium,EcoFinancial
الطاقة الحادة للشمس تسخن الهواء، الذي يرتفع في أعمدة ضخمة، مما يجذب الرياح السطحية القوية من الشمال والجنوب.,"The intense energy of the sun heats the air, which rises in huge columns, sucking in powerful surface winds from north and south.","['The intense energy of the sun cools the air, which rises in huge columns, sucking in powerful surface winds from north and south.', 'The intense energy of the moon heats the air, which rises in huge columns, sucking in powerful surface winds from north and south.', 'The intense energy of the sun heats the air, which falls in huge columns, pushing down surface winds from north and south.']",Medium,Subtitle
الالتزام بإرشادات الصحة العامة، مثل ارتداء الكمامات وممارسة التباعد الاجتماعي وغسل اليدين بشكل متكرر، يلعب دورًا حاسمًا في الحد من انتشار فيروس كورونا.,"Adhering to public health guidelines, such as wearing masks, practicing social distancing, and frequent handwashing, plays a crucial role in limiting the spread of COVID-19.","['Ignoring public health guidelines, such as wearing masks, practicing social distancing, and frequent handwashing, plays a crucial role in limiting the spread of COVID-19.', 'Adhering to public health guidelines, such as wearing masks, practicing social distancing, and frequent handwashing, plays no role in limiting the spread of COVID-19.', 'Adhering to public health guidelines, such as wearing masks and frequent handwashing, plays a crucial role in increasing the spread of COVID-19.']",Medium,Health
قرارات البنك المركزي تؤثر على السياسة النقدية للبلاد.,The central bank's decisions affect the country's monetary policy.,"[""The central bank's decisions affect the country's fiscal policy."", ""The central bank's decisions have no effect on the country's monetary policy."", ""The commercial banks’ decisions affect the country's monetary policy.""]",Medium,EcoFinancial
يمكن أن يؤدي التوتر المزمن إلى إضعاف جهاز المناعة، مما يجعل الجسم أكثر عرضة للإصابة بالعدوى ويؤخر عملية شفاء الجروح.,"Chronic stress can weaken the immune system, making the body more vulnerable to infections and delaying the healing process of wounds.","['Chronic stress can strengthen the immune system, making the body less vulnerable to infections and accelerating the healing process of wounds.', ""Chronic stress has no effect on the immune system, nor the body's ability to fight infections and heal wounds."", 'Chronic stress can weaken the immune system, making the body less vulnerable to infections but still delaying the healing process of wounds.']",Medium,Health
لكل ميل نرتفعه، يبرد الهواء بـ 17 درجة مئوية.,"For every mile we climb, the air cools by 17 degrees Celsius.","['For every mile we climb, the air cools by 7 degrees Celsius.', 'For every mile we descend, the air cools by 17 degrees Celsius.', 'For every mile we climb, the air heats by 17 degrees Celsius.']",Medium,Subtitle
The Grand Canyon is a well-known tourist destination.,الاخدود العظيم هو مقصد سياحي معروف,"['الاخدود العظيم هو مكان سياحي غير معروف', 'الوادي الكبير هو مكان يزوره السياح', 'الاخدود العظيم مكان اثري مهجور']",Easy,Litrature
أستطيع سماع الطيور تغني.,I can hear the birds singing.,"['I can see the birds singing.', 'I can feel the birds singing.', 'I can hear the dogs barking.']",Easy,Subtitle
Human rights organizations work to protect freedoms worldwide.,تعمل منظمات حقوق الإنسان على حماية الحريات في جميع أنحاء العالم.,"['تعمل منظمات حقوق الإنسان على انتهاك الحريات في جميع أنحاء العالم.', 'تعمل المنظمات الخيرية على حماية الحريات في جميع أنحاء العالم.', 'تعمل منظمات حقوق الحيوان على حماية الحريات في جميع أنحاء العالم.']",Easy,Legal
Banks are offering lower interest rates on mortgages.,تقدم البنوك أسعار فائدة منخفضة على الرهون العقارية.,"['تقدم البنوك أسعار فائدة مرتفعة على الرهون العقارية.', 'تقدم البنوك أسعار فائدة منخفضة على القروض الشخصية.', 'تقدم البنوك قروض بدون فوائد.']",Easy,EcoFinancial
الاقتصاد يواجه تحديات بسبب الأحداث العالمية.,The economy is facing challenges due to global events.,"['The economy is doing well despite global events.', 'The economy is improving because of global events.', 'The economy is not related to global events.']",Easy,EcoFinancial
كل شيء هادئ جدًا هنا.,Everything is so peaceful here.,"['Everything is so noisy here.', 'Everything is so busy here.', 'Everything is so dangerous here.']",Easy,Subtitle
Clean drinking water prevents many illnesses.,مياه الشرب النظيفة تمنع العديد من الأمراض.,"['مياه الشرب الملوثة تمنع العديد من الأمراض.', 'مياه الشرب النظيفة تسبب العديد من الأمراض.', 'مياه الصرف الصحي تمنع العديد من الأمراض.']",Easy,Health
تحمي الحقوق المدنية الأفراد من التمييز.,Civil rights protect individuals from discrimination.,"['Civil rights allow individuals to discriminate.', 'Civil rights protect only groups of individuals from discrimination.', 'Civil rights are not related to discrimination.']",Easy,Legal
كم هي عدد الساعات المستغرقة للذهاب إلى أوكيناوا بالطائرة؟,How many hours does it take to go to Okinawa by plane?,"['How many days does it take to go to Okinawa by plane?', 'How many hours does it take to go to Tokyo by plane?', 'How many hours does it take to go to Okinawa by boat?']",Easy,Litrature
يقرر هيئة المحلفين نتيجة المحاكمة بناءً على الأدلة المقدمة.,A jury decides the outcome of a trial based on the evidence presented.,"['A judge decides the outcome of a trial based on the evidence presented.', 'A jury decides the outcome of a trial based on the witness testimony.', 'A jury decides the outcome of a trial based on their personal opinions.']",Easy,Legal
يصبح مشروع القانون قانونًا بعد أن يوافق عليه البرلمان.,A bill becomes a law after it is approved by parliament.,"['A bill becomes a law before it is approved by parliament.', 'A bill becomes a law after it is approved by the president.', 'A bill never becomes a law.']",Easy,Legal
التمدد المنتظم يمكن أن يمنع تيبس العضلات.,Regular stretching can prevent muscle stiffness.,"['Regular stretching can cause muscle stiffness.', 'Regular stretching can increase muscle mass.', 'Regular stretching has nothing to do with muscle stiffness.']",Easy,Health
البنك المركزي يتحكم في عرض النقود في البلاد.,The central bank controls the country's money supply.,"[""The commercial bank controls the country's money supply."", ""The ministry of finance controls the country's money supply."", ""The parliament controls the country's money supply.""]",Easy,EcoFinancial
تحمي القوانين حقوق الناس وتضمن العدالة.,Laws protect people’s rights and ensure fairness.,"[""Laws only protect people's rights."", 'Laws only ensure fairness.', 'Laws violate people’s rights and ensures injustice.']",Easy,Legal
الناس ينفقون المزيد من المال هذا العام.,People are spending more money this year.,"['People are spending less money this year.', 'People are saving more money this year.', 'People are donating more money this year.']",Easy,EcoFinancial
تناول السمك مرتين في الأسبوع مفيد لقلبك.,Eating fish twice a week is good for your heart.,"['Eating meat twice a week is good for your heart.', 'Eating fish once a week is bad for your heart.', 'Eating vegetables twice a week is bad for your heart.']",Easy,Health
هذا الإجراء البسيط يمكن أن يقلل من معدل الوفيات الناجمة عن هذه الأمراض بنحو 50 في المائة.,This simple action can reduce the rate of mortality from these diseases by almost 50 per cent.,"['This simple action can increase the rate of mortality from these diseases by almost 50 per cent.', 'This simple action can reduce the rate of mortality from these diseases by almost 10 per cent.', 'This simple action has no effect on the rate of mortality from these diseases.']",Easy,Health
النمو الاقتصادي مهم لخلق فرص العمل.,Economic growth is important for job creation.,"['Economic growth is not important for job creation.', 'Economic growth is important for job destruction.', 'Economic growth is important for environmental protection.']",Easy,EcoFinancial
لقد حضر الاجتماع كممثل للشركة,He attended the meeting as the company representative.,"['He attended the meeting as a guest.', 'He attended the meeting as a visitor.', ""He didn't attend the meeting.""]",Easy,Litrature
الميزانية تساعد في إدارة الشؤون المالية الشخصية.,A budget helps manage personal finances.,"['A budget helps spend personal finances.', 'A budget has no role in personal finances.', 'A budget helps increase personal debt.']",Easy,EcoFinancial
سنعرف كيف نصلح هذا بطريقة أو بأخرى,"One way or another, we'll figure out how to fix this.","[""We'll never know how to fix this."", ""We'll try to fix this with one specific method only."", ""We'll know how to fix this very easily.""]",Easy,Litrature
توفير المال يساعد الناس على الاستعداد للطوارئ.,Saving money helps people prepare for emergencies.,"['Spending money helps people prepare for emergencies.', 'Saving money helps people prepare for celebrations.', 'Saving money has nothing to do with emergencies.']",Easy,EcoFinancial
أيهما تفضل الأحمر أم الازرق ؟,"Which one do you prefer, the red one or the blue one?","['Which one do you hate, the red one or the blue one?', 'Which one do you prefer, the green one or the yellow one?', 'Which one do you prefer, the white one or the black one?']",Easy,Litrature
إنه يوم رائع للمغامرة.,It’s a great day for an adventure.,"['It’s a bad day for an adventure.', ""It's a great day for sleeping."", ""It's a great day for staying indoors.""]",Easy,Subtitle
دعونا نبقى هنا لفترة أطول.,Let's stay here a little longer.,"[""Let's leave here immediately."", ""Let's go there a little longer."", ""Let's stay there a little longer.""]",Easy,Subtitle
أحب هذا المكان الهادئ.,I love this peaceful place.,"['I hate this peaceful place.', 'I love this noisy place.', 'I love this dangerous place.']",Easy,Subtitle
يجب أن نستكشف هذه المنطقة.,We should explore this area.,"['We should not explore this area.', 'We should ignore this area.', 'We should leave this area.']",Easy,Subtitle
دعونا نلتقط هذه اللحظة.,Let's capture this moment.,"[""Let's forget this moment."", ""Let's delete this moment."", ""Let's ignore this moment.""]",Easy,Subtitle
العديد من الناس يستثمرون في العقارات.,Many people are investing in real estate.,"['Many people are investing in the stock market.', 'Many people are investing in banks.', 'Many people are investing in cryptocurrencies.']",Easy,EcoFinancial
يحدد الدستور سلطات فروع الحكومة.,The constitution defines the powers of government branches.,"['The constitution defines the powers of the president.', 'The constitution defines the powers of the people.', 'The constitution defines the powers of international organizations.']",Easy,Legal
هذا المكان مليء بالمفاجآت.,This place is full of surprises.,"['This place is full of boredom.', 'This place is full of dangers.', 'This place is full of calmness.']",Easy,Subtitle
تدير الحكومات المحلية الخدمات العامة مثل المياه والنفايات.,Local governments manage public services like water and waste.,"['Local governments manage private services like hotels and restaurants.', 'Local governments manage international services like airports and ports.', 'Local governments have no role in managing public services.']",Easy,Legal
