Sentence,Translation,Question,Correct_Answer,Eng_Difficulty_Label,Topic_Label
The inflation rate has risen slightly this month.,معدل التضخم ارتفع قليلاً هذا الشهر.,Which specific economic indicator has experienced a minor increase recently?,the inflation rate,Easy,EcoFinancial
A power of attorney allows one person to act on behalf of another.,يتيح التوكيل لشخص ما أن يتصرف نيابة عن شخص آخر.,Who has the power to grant an individual the right to act for another?,The attorney,Easy,Legal
Let's take a walk and enjoy nature.,دعونا نتمشى ونستمتع بالطبيعة.,What specific environment are we encouraged to appreciate during our walk?,nature,Easy,Subtitle
المحامي يمثل العملاء في القضايا القانونية.,A lawyer represents clients in legal matters.,من هو الشخص المكلف بتمثيل العملاء في القضايا التي تخص القانون؟,المحامي,Easy,Legal
Frankfurt School of Finance and Management.,كلية فرانكفورت للمالية والإدارة.,What is the full name of the academic institution mentioned?,Frankfurt School of Finance and Management,Easy,Legal
"Three more people, arriving from the Islamic Republic of Iran to Azerbaijan, tested positive for COVID-19.",تبين أن ثلاثة أشخاص آخرين وصلوا من جمهورية إيران الإسلامية إلى أذربيجان، كانوا إيجابيين لكوفيد-19.,From which specific country did the individuals who tested positive for COVID-19 originate?,the Islamic Republic of Iran,Easy,Health
تضع الحكومات سياسات لحل القضايا الوطنية.,Governments create policies to solve national issues.,ما هو الإجراء الذي تتخذه الحكومات لمعالجة المشاكل التي تواجهها الدولة؟,سياسات,Easy,Legal
A breach of contract occurs when one party does not fulfill their obligations.,يحدث خرق العقد عندما لا يفي أحد الأطراف بالتزاماته.,Under what specific circumstance does a breach of contract occur?,when one party does not fulfill their obligations,Easy,Legal
"The narrative voice in William Faulkner's ""The Sound and the Fury"" exemplifies the complexities of time and memory through multiple perspectives.","يُجسد الصوت السردي في ""الصوت والغضب"" لويليام فوكنر تعقيدات الزمن والذاكرة من خلال وجهات نظر متعددة.","What specific literary element in Faulkner's ""The Sound and the Fury"" showcases the intricate relationship between time and memory?",the narrative voice,Hard,Litrature
A jury listens to evidence in court and decides the verdict.,يستمع أعضاء هيئة المحلفين إلى الأدلة في المحكمة ويقررون الحكم.,What specific information does a jury review before reaching a verdict?,The evidence,Easy,Legal
A Constitution is the highest law in the country.,الدستور هو أعلى قانون في الدولة.,What specific document holds the highest legal authority within a country?,A Constitution,Easy,Legal
Public servants work to implement government policies.,يعمل الموظفون العموميون على تنفيذ سياسات الحكومة.,Which specific group of individuals is tasked with executing government policies?,Public servants,Easy,Legal
The government is implementing new economic policies.,الحكومة تنفذ سياسات اقتصادية جديدة.,What kind of new policies is the government specifically putting into practice?,economic policies,Easy,EcoFinancial
This is a perfect spot to relax.,هذا مكان مثالي للاسترخاء.,What is the key characteristic that makes this place ideal?,perfect for relaxation,Easy,Subtitle
المنظر مذهل.,The view is breathtaking.,ما هي الصفة المميزة التي تصف بها هذا المشهد؟,مذهل,Easy,Subtitle
Breaking the law can result in a fine or imprisonment.,قد يؤدي انتهاك القانون إلى غرامة أو السجن.,What are the potential consequences of committing a legal violation?,a fine or imprisonment,Easy,Legal
A subpoena requires a person to appear in court.,الاستدعاء يلزم الشخص بالمثول أمام المحكمة.,What specific legal document compels an individual to attend court?,a subpoena,Easy,Legal
It’s so quiet and peaceful here.,هنا هادئ جدًا وسلمي.,What are the two primary attributes that define the atmosphere of this place?,quiet and peaceful,Easy,Subtitle
Vaccines protect you from dangerous diseases.,اللقاحات تحميك من الأمراض الخطيرة.,What specific type of ailment do vaccines provide protection against?,dangerous diseases,Easy,Health
Many companies are expanding their operations abroad.,العديد من الشركات تقوم بتوسيع عملياتها في الخارج.,Where are numerous companies extending their business activities?,abroad,Easy,EcoFinancial
عندما كنتُ في الثانويّة، استيقظتُ السادسةَ كل صباح,"Back in high school, I got up at 6 a.m. every morning.",في أي وقت بالتحديد كنت أستيقظ في المرحلة الثانوية؟,السادسة صباحًا,Easy,Litrature
He couldn't overcome the desire for another cigarette.,لم يستطع التغلب على الرغبة في سيجارةٍ أخرى,What specific urge was he unable to resist?,another cigarette,Easy,Litrature
This place is full of life.,هذا المكان مليء بالحياة.,What is the main quality that characterizes this place?,life,Easy,Subtitle
Many people use credit cards for purchases.,يستخدم العديد من الناس بطاقات الائتمان للشراء.,What specific payment method is commonly used by people for making purchases?,credit cards,Easy,EcoFinancial
The air smells so fresh.,الهواء رائحته طازجة جدًا.,What is the primary characteristic of the air's scent?,fresh,Easy,Subtitle
Sleep at least 7 hours a night to stay energized.,نم لمدة لا تقل عن 7 ساعات في الليل لتحافظ على نشاطك.,What is the minimum number of hours of sleep recommended for maintaining energy levels?,7 hours,Easy,Health
ألحقت ملاحظة بالمستند باستخدام ملقط ورق,A note was attached to the document with a paper clip.,ما هي الأداة التي استخدمت لإرفاق الملاحظة بالمستند؟,ملقط ورق,Easy,Litrature
This is going to be an adventure.,ستكون هذه مغامرة.,What type of experience is anticipated in this situation?,an adventure,Easy,Subtitle
Economic growth leads to more job opportunities.,النمو الاقتصادي يؤدي إلى المزيد من فرص العمل.,What is the direct result of a growing economy in terms of employment?,more job opportunities,Easy,EcoFinancial
"Short and accurate information for decision-makers, media and public",توفيرمعلومات مختصرة ودقيقة لصناع القرار ووسائل الإعلام والعامة,"What specific attributes should information possess to effectively serve decision-makers, media, and the public?",short and accurate,Easy,Health
لا نملك من المال ما يكفي لشراء كل ما نحتاج,We don't have enough money to buy everything we need.,ما هو الشيء الذي لا نملك القدرة المالية على شرائه بشكل كاف؟,كل ما نحتاج,Easy,Litrature
"Telemedicine has emerged as a critical tool for delivering healthcare services, particularly during the COVID-19 pandemic.",برز التطبيب عن بعد كأداة حيوية لتقديم خدمات الرعاية الصحية، خاصة خلال جائحة كوفيد-19.,During what specific global health crisis has telemedicine become an essential service?,the COVID-19 pandemic,Hard,Health
"The symbolic use of weather in Emily Brontë's ""Wuthering Heights"" intensifies the gothic atmosphere and reflects the tumultuous emotions of the characters.","يعزز الاستخدام الرمزي للطقس في ""مرتفعات وذرينغ"" لإميلي برونتي الجو القوطي ويعكس العواطف المتقلبة للشخصيات.","In ""Wuthering Heights,"" what specific element is employed to heighten the gothic ambiance and mirror the characters' turbulent feelings?",the symbolic use of weather,Hard,Litrature
أصدرت المحكمة أمرًا تقييديًا دائمًا يمنع المتهم من الانخراط في أي أنشطة قد تسبب ضررًا لحقوق الملكية الفكرية للمدعي.,"The court issued a permanent injunction, preventing the defendant from engaging in any activities that could cause harm to the plaintiff’s intellectual property rights.",ما هو نوع الأمر الذي أصدرته المحكمة لمنع المتهم من إلحاق الضرر بحقوق الملكية الفكرية؟,أمر تقييدي دائم,Hard,Legal
The economic sanctions have led to a decline in foreign direct investment.,أدت العقوبات الاقتصادية إلى انخفاض في الاستثمار الأجنبي المباشر.,What specific governmental action has resulted in a reduction of international capital inflow?,economic sanctions,Hard,EcoFinancial
"The exploration of the American South's social dynamics in William Faulkner's ""As I Lay Dying"" offers a complex narrative structure.","إن استكشاف الديناميكيات الاجتماعية للجنوب الأمريكي في رواية ويليام فوكنر ""بينما كنت أحتضر"" يقدم بنية سردية معقدة.","In Faulkner's ""As I Lay Dying,"" what aspect of the American South's portrayal contributes to a challenging narrative form?",the exploration of the American South's social dynamics,Hard,Litrature
"The roads were washed in snow, and the cold closed us in, from the north to the south, from the east to the west.",كانت الطرق مغطاة بالثلوج، والبرد أغلق علينا، من الشمال إلى الجنوب، ومن الشرق إلى الغرب.,What was the primary weather condition that caused the roads to be covered and isolated the people?,snow,Hard,Subtitle
The court issued a declaratory judgment affirming the constitutionality of the challenged statute.,أصدرت المحكمة حكمًا إعلانيًا يؤكد دستورية القانون المتنازع عليه.,What specific type of judgment did the court release regarding the legality of the questioned law?,a declaratory judgment,Hard,Legal
"The defendant’s legal team argued that the charges were politically motivated, but the court found no evidence to support this claim.",جادل الفريق القانوني للمتهم بأن التهم كانت مدفوعة سياسيًا، لكن المحكمة لم تجد أي دليل لدعم هذا الادعاء.,"According to the defendant's legal team, what was the alleged underlying reason for the charges?",politically motivated,Hard,Legal
You want to make a difference? Start by looking in the mirror and facing your own flaws.,تريد أن تصنع فرقًا؟ ابدأ بالنظر في المرآة ومواجهة عيوبك الخاصة.,"Where does one need to begin the process to make a positive impact, according to the statement?",Faing your own flaws.,Hard,Subtitle
أدى التراجع الاقتصادي إلى انكماش في إنفاق المستهلكين.,The economic downturn has led to a contraction in consumer spending.,ما هو التأثير المباشر الذي أحدثه التدهور الاقتصادي على سلوك المستهلكين؟,انكماش في إنفاق المستهلكين,Hard,EcoFinancial
"The complex themes of mortality and time in William Blake's ""Songs of Innocence and Experience"" highlight the dichotomy between innocence and experience.","تسلط المواضيع المعقدة للموت والوقت في ""أغاني البراءة والتجربة"" لويليام بليك الضوء على التباين بين البراءة والتجربة.",What specific contrast is emphasized through the complex themes of mortality and time in Blake's 'Songs of Innocence and Experience'?,the dichotomy between innocence and experience,Hard,Litrature
عزز الفائض التجاري العملة الوطنية.,The trade surplus has strengthened the national currency.,ما هو العنصر الذي ساهم في تحسين قيمة العملة المحلية؟,الفائض التجاري,Hard,EcoFinancial
"The metafictional elements in Italo Calvino's ""If on a Winter's Night a Traveler"" engage readers in a dialogue about the nature of storytelling.","تشارك العناصر الميتا-روائية في ""إذا كان في ليلة شتاء مسافر"" لإيتالو كالفينو القراء في حوار حول طبيعة السرد.","In Calvino's ""If on a Winter's Night a Traveler,"" what specific aspect of literature is explored through the metafictional elements?",the nature of storytelling,Hard,Litrature
The court granted the defendant's motion to dismiss the indictment on grounds of prosecutorial misconduct.,منحت المحكمة طلب المتهم لرفض لائحة الاتهام على أساس سوء سلوك الادعاء.,Based on what specific reason did the court approve the defendant's request to drop the charges?,prosecutorial misconduct,Hard,Legal
You never really know who you are until you're faced with the worst possible situation.,أنت لا تعرف من أنت حقاً حتى تواجه أسوأ المواقف.,"According to this statement, under what specific condition does one gain true self-awareness?",when you are faced with the worst possible situation,Hard,Subtitle
"The harder you try to hold on to something, the more likely it is that you'll lose it.",كلما حاولت التمسك بشيء، كلما كانت احتمالية فقدانه أكبر.,"According to this statement, what is the unexpected result of trying too hard to maintain something?",losing it,Hard,Subtitle
"The pathogenesis of neurodegenerative diseases often involves the aggregation of misfolded proteins, leading to cellular dysfunction and death.",غالبًا ما تتضمن أمراض التنكس العصبي تراكم بروتينات مشوهة، مما يؤدي إلى خلل وظيفي في الخلايا وموتها.,"In neurodegenerative diseases, what specific molecular process contributes to the deterioration of cells?",the aggregation of misfolded proteins,Hard,Health
"The plaintiff's lawsuit was barred by the statute of limitations, rendering the claim time-barred.",تم حظر دعوى المدعي بموجب قانون التقادم، مما يجعل الدعوى محظورة بسبب مرور الوقت.,What specific legal constraint prevented the plaintiff's case from proceeding?,the statute of limitations,Hard,Legal
The discovery of circulating tumor DNA has opened new avenues for non-invasive cancer diagnostics and monitoring disease progression.,فتح اكتشاف الحمض النووي الورمي المتداول آفاقًا جديدة لتشخيص السرطان غير الجراحي ومراقبة تقدم المرض.,What new possibilities have been made available through the discovery of circulating tumor DNA?,non-invasive cancer diagnostics and monitoring disease progression,Hard,Health
The economic indicators suggest a potential recession in the near future.,تشير المؤشرات الاقتصادية إلى احتمال حدوث ركود في المستقبل القريب.,"According to the economic indicators, what specific economic downturn is predicted?",a potential recession,Hard,EcoFinancial
"People don’t change overnight, especially not after everything that’s happened.",الناس لا يتغيرون بين عشية وضحاها، خاصة بعد كل ما حدث.,"According to this statement, when is change particularly unlikely?",after significant events or experiences have occurred.,Hard,Subtitle
"The use of magical realism in Gabriel García Márquez's ""One Hundred Years of Solitude"" blurs the lines between reality and fantasy.","يُغشي استخدام الواقعية السحرية في ""مئة عام من العزلة"" لغابرييل غارسيا ماركيز الحدود بين الواقع والخيال.","In Márquez's ""One Hundred Years of Solitude,"" what specific literary device is used to create uncertainty about the boundary between reality and fantasy?",magical realism,Hard,Litrature
"The intricate narrative structure of James Joyce's ""Ulysses"" challenges readers to navigate its stream-of-consciousness technique.","تتحدى البنية السردية المعقدة في ""عوليس"" لجيمس جويس القراء للتنقل عبر تقنيته في تدفق الوعي.","What specific characteristic of ""Ulysses"" makes it difficult for readers to follow the narrative?",the intricate narrative structure,Hard,Litrature
"The examination of moral relativism in Jonathan Swift's ""A Modest Proposal"" satirizes societal indifference to the plight of the poor.","يفحص ""اقتراح متواضع"" لجوناثان سويفت النسبية الأخلاقية ويسخر من اللامبالاة الاجتماعية تجاه معاناة الفقراء.","What is Swift's ""A Modest Proposal"" primarily critiquing through the examination of moral relativism?",societal indifference to the plight of the poor,Hard,Litrature
"Researchers are exploring the gut-brain axis, emphasizing the impact of microbiota on mental health and neurological disorders.",يستكشف الباحثون محور الأمعاء-الدماغ، مع التركيز على تأثير الميكروبيوم على الصحة العقلية والاضطرابات العصبية.,What specific connection are researchers examining with regard to microbiota's impact?,the gut-brain axis,Hard,Health
The legal precedent set by the Supreme Court’s ruling in this case will have a lasting impact on future interpretations of similar legal issues.,سيكون للسابقة القانونية التي وضعتها حكم المحكمة العليا في هذه القضية تأثير دائم على التفسيرات المستقبلية لقضايا قانونية مماثلة.,What is the expected long-term effect of the Supreme Court's ruling on the understanding of related legal matters?,a lasting impact on future interpretations of similar legal issues,Hard,Legal
Neuroplasticity refers to the brain's ability to reorganize itself by forming new neural connections in response to learning or injury.,تشير المرونة العصبية إلى قدرة الدماغ على إعادة تنظيم نفسه من خلال تكوين اتصالات عصبية جديدة استجابةً للتعلم أو الإصابة.,What is the term for the brain's capacity to adapt and create new connections after learning or trauma?,neuroplasticity,Hard,Health
"It’s never the big decisions that get you, it’s always the small ones you didn’t think twice about.",أحياناً، ليست القرارات الكبيرة هي التي تزعجك، بل هي دائمًا تلك القرارات الصغيرة التي لم تفكر فيها.,"According to this statement, what type of decisions are more likely to cause problems?",the small ones you didn’t think twice about,Hard,Subtitle
"Endocrine disruptors, often found in pesticides and plastics, interfere with hormone systems and may cause adverse developmental effects.",تؤثر المواد المسببة لاضطراب الغدد الصماء، الموجودة غالبًا في المبيدات والبلاستيك، على نظم الهرمونات وقد تسبب آثارًا تطورية ضارة.,"What kind of substances, commonly found in pesticides and plastics, can disrupt hormone systems and potentially cause developmental issues?",endocrine disruptors,Hard,Health
The fiscal policy adjustments are designed to stimulate economic growth.,تم تصميم تعديلات السياسة المالية لتحفيز النمو الاقتصادي.,What is the primary objective behind making changes to fiscal policy?,to stimulate economic growth,Hard,EcoFinancial
"If you think this is over, you're gravely mistaken.",إذا كنت تعتقد أن هذا قد انتهى، فأنت مخطئ بشكل فادح.,What is the speaker implying by saying you're 'gravely mistaken' if you think 'this is over'?,that it is not over,Hard,Subtitle
"Time comes with its hands and its rocks and its flowers, but all we are, is looking for it, hoping to find some piece of it.",يأتي الزمن بأيديه وصخوره وازهاره، لكن كل ما نحن عليه هو البحث عنه، على أمل العثور على بعض منه.,"According to this statement, what are humans primarily doing in relation to time?",humans are primarily seeking and hoping to find a part or essence of time.,Hard,Subtitle
"The philosophical depth of Nietzsche's ""Thus Spoke Zarathustra"" challenges conventional moral values and explores the concept of the Übermensch.","يتحدى عمق الفلسفة في ""هكذا تكلم زرادشت"" لنيتشه القيم الأخلاقية التقليدية ويستكشف مفهوم الإنسان المتفوق (Übermensch).","What are the two main themes explored in Nietzsche's ""Thus Spoke Zarathustra""?",conventional moral values and the concept of the Übermensch,Hard,Litrature
"The exploration of love and betrayal in William Shakespeare's ""Othello"" delves into the destructive power of jealousy.","يغوص استكشاف الحب والخيانة في ""عطيل"" لويليام شكسبير في القوة المدمرة للغيرة.","In Shakespeare's ""Othello,"" what is the destructive force that the exploration of love and betrayal leads to?",the destructive power of jealousy,Hard,Litrature
"Homer's ""The Iliad"" and ""The Odyssey"" are foundational texts that have influenced Western literature for millennia.","تُعد ""الإلياذة"" و""الأوديسة"" لهوميروس نصوصًا أساسية أثرت في الأدب الغربي لآلاف السنين.","What is the long-term impact of Homer's ""The Iliad"" and ""The Odyssey"" on Western culture?",they have influenced Western literature for millennia,Hard,Litrature
The rising interest rates are making loans more expensive for consumers.,جعلت أسعار الفائدة المرتفعة القروض أكثر تكلفة للمستهلكين.,What specific change in the financial landscape is leading to an increase in the cost of borrowing for consumers?,rising interest rates,Hard,EcoFinancial
"The defendant's actions resulted in a clear violation of the terms of the contract, thereby warranting the plaintiff's claim for both compensatory and punitive damages as outlined in the agreement.",أدت أفعال المدعى عليه إلى انتهاك واضح لشروط العقد، مما يبرر طلب المدعي للحصول على تعويضات مالية تعويضة وعقابية كما هو موضح في الاتفاق.,What was the direct consequence of the defendant's actions that justified the plaintiff's claim for damages?,a clear violation of the terms of the contract,Hard,Legal
The economic indicators suggest a slowdown in the housing market.,تشير المؤشرات الاقتصادية إلى تباطؤ في سوق الإسكان.,What do the economic indicators suggest about the current state of the housing market?,a slowdown,Hard,EcoFinancial
The defendant was sentenced to life imprisonment without the possibility of parole.,تم الحكم على المتهم بالسجن المؤبد دون إمكانية الإفراج المشروط.,"What was the final judgment for the defendant, with no chance of release?",life imprisonment without the possibility of parole,Hard,Legal
The financial crisis has led to widespread unemployment and business closures.,أدت الأزمة المالية إلى بطالة واسعة النطاق وإغلاق الشركات.,What are the two main consequences of the financial crisis mentioned in the sentence?,widespread unemployment and business closures,Hard,EcoFinancial
The labor market has experienced significant shifts due to technological advancements.,شهد سوق العمل تحولات كبيرة بسبب التقدم التكنولوجي.,What is the primary driver behind the major transformations in the labor market?,technological advancements,Hard,EcoFinancial
"COVID-19 has been linked to an increased risk of thromboembolic events, including deep vein thrombosis and pulmonary embolism, particularly in hospitalized patients.",تم ربط COVID-19 بزيادة خطر حدوث الأحداث الخثارية، بما في ذلك تجلط الأوردة العميقة والانصمام الرئوي، خاصة في المرضى الذين تم إدخالهم إلى المستشفى.,"What specific type of medical condition, including deep vein thrombosis and pulmonary embolism, has been associated with COVID-19?",thromboembolic events,Hard,Health
The government's fiscal policy aims to reduce the budget deficit.,تهدف السياسة المالية الحكومية إلى تقليص العجز في الميزانية.,What specific financial issue is the government's fiscal policy designed to address?,reduce the budget deficit,Hard,EcoFinancial
"I never asked for any of this. It’s always been out of my control, but somehow, I keep finding myself in the middle of it.",لم أطلب أي من هذا. لقد كان دائماً خارج سيطرتي، لكن  بطريقة ما، أجد نفسي دائماً في منتصفه.,What does the speaker emphasize about their involvement in the current situation?,"The speaker emphasizes that their involvement in the current situation is involuntary and beyond their control, yet they repeatedly find themselves caught in the midst of it.",Hard,Subtitle
"Longitudinal studies on COVID-19 survivors have revealed persistent lung fibrosis, which may lead to long-term respiratory complications and decreased pulmonary function.",كشفت الدراسات الطولية على الناجين من COVID-19 عن تليف رئوي مستمر، مما قد يؤدي إلى مضاعفات تنفسية طويلة الأمد وانخفاض وظيفة الرئة.,What specific long-term lung condition has been identified in COVID-19 survivors by longitudinal studies?,persistent lung fibrosis,Hard,Health
"The existential themes in Albert Camus' ""The Stranger"" delve into the absurdity of life and the human condition.","تغوص المواضيع الوجودية في ""الغريب"" لألبير كامو في عبثية الحياة والحالة الإنسانية.","What two main philosophical concepts are explored in Camus' ""The Stranger"" through its existential themes?",the absurdity of life and the human condition,Hard,Litrature
Maybe this is the only way we’ll ever be free – if we stop pretending.,ربما هذه هي الطريقة الوحيدة التي سنكون فيها أحرارًا – إذا توقفنا عن التظاهر.,"According to this statement, what action needs to be taken in order to be free?",stop pretending,Hard,Subtitle
The stock market experienced a sharp decline following the economic downturn.,شهد سوق الأسهم انخفاضًا حادًا بعد التراجع الاقتصادي.,What market behavior was observed after the economic downturn?,a sharp decline,Hard,EcoFinancial
"I’ve done things I'm not proud of, but it’s the choices we make now that define us.",فعلت أشياء لا أفخر بها، ولكن الخيارات التي نتخذها الآن هي التي تحدد من نكون.,"According to the statement, what primarily shapes a person's identity?",the choices we make now,Hard,Subtitle
Judges interpret ambiguous statutes by examining the legislative intent.,يفسر القضاة القوانين الغامضة من خلال فحص نية المشرع.,How do judges clarify laws that are unclear or vague?,by examining the legislative intent,Medium,Legal
The defendant was charged with multiple counts of fraud.,تم توجيه تهم متعددة للمتهم بالاحتيال.,What specific type of crime did the defendant face multiple charges for?,fraud,Medium,Legal
"Developing healthy habits early in life, such as regular exercise and balanced nutrition, can have long-lasting positive effects on overall health.",تطوير عادات صحية في وقت مبكر من الحياة، مثل ممارسة الرياضة بانتظام والتغذية المتوازنة، يمكن أن يكون لها آثار إيجابية دائمة على الصحة العامة.,What kind of lifestyle choices can provide enduring benefits to a person’s health if adopted early in life?,regular exercise and balanced nutrition,Medium,Health
"To follow the start of the wind's journey, follow this.",لمتابعة بداية رحلة الرياح، تابع هذا.,What is the suggested action to understand how the wind's journey begins?,"follow the indicated path or direction, likely implied by ""this,"" which serves as a guide to the wind's origin.",Medium,Subtitle
The central bank's decision to lower interest rates aims to stimulate economic growth.,تهدف قرار البنك المركزي بخفض أسعار الفائدة إلى تحفيز النمو الاقتصادي.,What is the main objective of the central bank's action to reduce interest rates?,to stimulate economic growth,Medium,EcoFinancial
The government is considering new regulations to control the rising cost of living.,الحكومة تفكر في فرض لوائح جديدة للحد من ارتفاع تكلفة المعيشة.,What specific issue is prompting the government to contemplate new rules and restrictions?,rising cost of living,Medium,EcoFinancial
"Down here at sea level, my leaf drifts lazily until it is lifted up by the rising warm air.",هنا في مستوى سطح البحر، تنجرف ورقتي بتكاسل حتى ترفعها الهواء الدافئ الصاعد.,"According to the sentence, what causes the leaf to rise from sea level?",rising warm air,Medium,Subtitle
"From here, at about five miles, you can look down on a thunderstorm, look into the eye of a hurricane, or even hitch a ride with the jet stream, the fastest wind on Earth.",من هنا، عند حوالي خمسة أميال، يمكنك النظر إلى عاصفة رعدية، النظر في عين إعصار، أو حتى الاستفادة من التيار النفاث، أسرع رياح على الأرض.,What specific atmospheric phenomena can be observed from a distance of approximately five miles?,"a thunderstorm, a hurricane, or the jet stream",Medium,Subtitle
The translation of classical Arabic literature into English has increased in recent years.,ازدادت ترجمة الأدب العربي الكلاسيكي إلى الإنجليزية في السنوات الأخيرة.,What specific type of literary translation has experienced growth in recent years?,classical Arabic literature into English,Medium,Litrature
Literary translation requires not only language skills but also cultural understanding.,تتطلب الترجمة الأدبية ليس فقط مهارات لغوية بل أيضًا فهمًا ثقافيًا.,"Besides language skills, what other critical competency is essential for literary translation?",cultural understanding,Medium,Litrature
The unemployment rate is a key indicator of economic health.,معدل البطالة هو مؤشر رئيسي لصحة الاقتصاد.,What specific economic statistic is considered a significant measure of the overall economy's strength?,the unemployment rate,Medium,EcoFinancial
People with high blood sugar levels should carefully monitor their diet and exercise regularly to manage their condition and avoid complications.,يجب على الأشخاص الذين يعانون من مستويات عالية من السكر في الدم مراقبة نظامهم الغذائي بعناية وممارسة الرياضة بانتظام لإدارة حالتهم وتجنب المضاعفات.,What two lifestyle changes are recommended for people with high blood sugar to better control their health?,carefully monitor their diet and exercise regularly,Medium,Health
The GDP growth rate indicates the health of an economy.,معدل نمو الناتج المحلي الإجمالي يدل على صحة الاقتصاد.,What is the primary economic measurement used to determine the overall health of an economy?,GDP growth rate,Medium,EcoFinancial
The company’s stock price has seen significant growth this year.,شهد سعر سهم الشركة نموًا كبيرًا هذا العام.,What aspect of the company has experienced considerable positive change this year?,the company's stock price,Medium,EcoFinancial
The government is implementing measures to boost domestic production.,تنفذ الحكومة تدابير لتحفيز الإنتاج المحلي.,What specific economic activity is the government taking steps to promote?,domestic production,Medium,EcoFinancial
The judge issued a bench warrant for the arrest of the suspect.,أصدر القاضي أمر توقيف بحق المشتبه به.,What specific legal order was issued by the judge to apprehend the suspect?,a bench warrant,Medium,Legal
The government is working to create policies that support small businesses.,تعمل الحكومة على وضع سياسات تدعم الشركات الصغيرة.,What is the main purpose of the policies that the government is creating?,to support small businesses,Medium,EcoFinancial
The central bank is likely to introduce new monetary policies to manage inflation.,من المحتمل أن يقدم البنك المركزي سياسات نقدية جديدة لإدارة التضخم.,What type of policies is the central bank planning to implement to control inflation?,new monetary policies,Medium,EcoFinancial
The government is implementing policies to reduce the national debt.,الحكومة تنفذ سياسات للحد من الدين الوطني.,What specific financial issue is the government attempting to mitigate with its new policies?,reducing the national debt,Medium,EcoFinancial
